project_id,project_type,state,region,capacity_mw,sanctioned_budget_cr,planned_duration_months,contractor_count,land_acquisition_status,project_complexity,actual_cost_cr,actual_duration_months,cost_overrun_pct,delay_months,risk_level
P00637,Thermal,Maharashtra,West,2148,6108.14,45,8,Complete,Low,6700.64,48.9,9.7,3.9,Medium
P00638,Thermal,Maharashtra,West,3133,16150.42,91,7,Complete,Medium,16809.76,95.1,4.08,4.1,Medium
P00639,Transmission,Maharashtra,West,2432,2451.86,47,10,Partial,Medium,3235.49,59.4,31.96,12.4,High
P00640,Wind,Haryana,North,171,287.65,35,9,Complete,Low,314.93,42.9,9.48,7.9,Medium
P00641,Solar,Haryana,North,940,2102.4,27,1,Complete,High,2381.31,38.6,13.27,11.6,High
P00642,Solar,Rajasthan,North,766,2457.12,35,10,Partial,Low,2959.89,39.8,20.46,4.8,Medium
P00643,Wind,Rajasthan,North,297,870.37,14,7,Complete,Medium,948.61,16.4,8.99,2.4,Low
P00644,Solar,Karnataka,South,1186,2283.88,19,4,Partial,High,2682.14,37.6,17.44,18.6,High
P00645,Solar,Rajasthan,North,249,790.29,32,7,Pending,Medium,1030.12,49.6,30.35,17.6,High
P00646,Wind,Haryana,North,155,342.34,35,2,Complete,Medium,373.59,37.9,9.13,2.9,Low
P00647,Transmission,Maharashtra,West,2962,3622.38,44,5,Partial,Medium,4161.99,51.1,14.9,7.1,Medium
P00648,Wind,Uttar Pradesh,North,578,1504.62,17,4,Partial,Medium,1843.17,25.0,22.5,8.0,Medium
P00649,Solar,Tamil Nadu,South,903,2390.47,43,8,Complete,Medium,2757.86,48.0,15.37,5.0,Medium
P00650,Thermal,Uttar Pradesh,North,4053,16085.05,55,8,Complete,Medium,18542.67,63.0,15.28,8.0,Medium
P00651,Hydro,Karnataka,South,1401,4212.0,108,1,Complete,Medium,4513.25,112.0,7.15,4.0,Medium
P00652,Solar,Madhya Pradesh,Central,566,1669.6,29,1,Complete,High,2020.36,34.6,21.01,5.6,Medium
P00653,Hydro,Gujarat,West,789,4656.0,68,2,Partial,High,5882.98,86.4,26.35,18.4,High
P00654,Hydro,Tamil Nadu,South,2688,12372.01,52,5,Pending,Medium,15219.68,70.4,23.02,18.4,High
P00655,Thermal,Haryana,North,3600,19809.63,71,1,Partial,High,24829.6,83.4,25.34,12.4,High
P00656,Wind,Haryana,North,894,1608.17,13,7,Complete,Low,1663.58,14.0,3.45,1.0,Low
P00657,Thermal,Rajasthan,North,2471,12026.93,91,2,Complete,Low,12515.41,92.5,4.06,1.5,Low
P00658,Solar,Tamil Nadu,South,1446,4104.86,18,7,Partial,Medium,4792.02,28.2,16.74,10.2,High
P00659,Transmission,Punjab,North,526,1304.21,47,10,Pending,Medium,1876.28,61.8,43.86,14.8,High
P00660,Wind,Rajasthan,North,877,1535.83,12,10,Partial,Low,1834.38,23.4,19.44,11.4,High
P00661,Solar,Tamil Nadu,South,1150,4017.37,25,7,Complete,Low,4023.61,26.1,0.16,1.1,Low
P00662,Thermal,Maharashtra,West,4818,13817.73,48,7,Complete,Medium,14436.51,53.7,4.48,5.7,Medium
P00663,Transmission,Maharashtra,West,1429,2302.22,12,8,Complete,Medium,2657.93,20.3,15.45,8.3,Medium
P00664,Thermal,Punjab,North,1660,9529.33,51,6,Partial,Medium,10856.52,61.6,13.93,10.6,High
P00665,Hydro,Gujarat,West,2060,10760.99,96,2,Pending,Low,13990.93,109.9,30.02,13.9,High
P00666,Wind,Uttar Pradesh,North,394,1098.11,17,2,Complete,Medium,1175.03,20.8,7.01,3.8,Medium
P00667,Solar,Gujarat,West,337,1036.57,24,7,Partial,Medium,1184.72,30.2,14.29,6.2,Medium
P00668,Hydro,Andhra Pradesh,South,677,4171.92,60,8,Complete,Medium,4787.92,68.9,14.77,8.9,Medium
P00669,Wind,Maharashtra,West,908,2278.02,14,6,Pending,Medium,3036.58,27.9,33.3,13.9,High
P00670,Transmission,Karnataka,South,1794,3730.07,41,2,Complete,Low,3771.68,41.1,1.12,0.1,Low
P00671,Thermal,Gujarat,West,4820,20909.2,66,5,Partial,Medium,25149.95,77.0,20.28,11.0,High
P00672,Transmission,Maharashtra,West,1985,4752.83,22,9,Complete,Medium,5280.46,28.2,11.1,6.2,Medium
P00673,Solar,Haryana,North,1391,2744.63,24,3,Complete,Medium,3061.48,25.6,11.54,1.6,Medium
P00674,Transmission,Tamil Nadu,South,2445,5004.88,26,8,Partial,Low,5993.07,36.6,19.74,10.6,High
P00675,Wind,Punjab,North,477,917.79,23,10,Complete,High,1126.74,38.0,22.77,15.0,High
P00676,Transmission,Gujarat,West,2515,3975.15,15,9,Complete,Low,4427.87,17.6,11.39,2.6,Medium
P00677,Hydro,Gujarat,West,3026,16367.69,97,1,Partial,High,20959.18,109.5,28.05,12.5,High
P00678,Thermal,Maharashtra,West,806,4535.16,58,1,Pending,Low,5615.65,75.4,23.82,17.4,High
P00679,Hydro,Maharashtra,West,1650,5356.72,36,1,Complete,Medium,5659.97,39.2,5.66,3.2,Medium
P00680,Thermal,Uttar Pradesh,North,1415,5326.09,52,4,Partial,Low,5810.35,58.6,9.09,6.6,Medium
P00681,Transmission,Punjab,North,1714,2388.91,30,6,Pending,Low,2795.19,39.0,17.01,9.0,Medium
P00682,Thermal,Andhra Pradesh,South,1926,6963.43,71,3,Complete,Medium,7376.69,75.8,5.93,4.8,Medium
P00683,Thermal,Madhya Pradesh,Central,977,3396.3,42,4,Complete,Low,3475.85,43.2,2.34,1.2,Low
P00684,Transmission,Madhya Pradesh,Central,609,638.96,37,3,Pending,High,885.65,60.8,38.61,23.8,High
P00685,Transmission,Haryana,North,2509,3527.11,16,3,Partial,Low,4057.34,22.3,15.03,6.3,Medium
P00686,Transmission,Haryana,North,760,1072.37,13,2,Complete,Low,1083.6,13.9,1.05,0.9,Low
P00687,Solar,Gujarat,West,261,775.4,29,10,Complete,High,846.62,44.6,9.19,15.6,High
P00688,Wind,Haryana,North,639,1282.29,24,4,Complete,Medium,1409.88,27.3,9.95,3.3,Medium
P00689,Transmission,Andhra Pradesh,South,2861,3933.25,43,4,Partial,Medium,4560.24,51.3,15.94,8.3,Medium
P00690,Thermal,Gujarat,West,2790,9716.25,64,9,Partial,Low,11626.41,75.9,19.66,11.9,High
P00691,Wind,Andhra Pradesh,South,832,1151.55,12,5,Partial,Low,1273.89,15.3,10.62,3.3,Medium
P00692,Thermal,Rajasthan,North,1958,7529.0,39,5,Complete,Medium,8349.82,41.0,10.9,2.0,Medium
P00693,Transmission,Punjab,North,677,1165.58,27,1,Complete,Low,1173.15,28.4,0.65,1.4,Low
P00694,Wind,Madhya Pradesh,Central,602,993.26,13,10,Complete,Medium,1123.4,18.9,13.1,5.9,Medium
P00695,Solar,Madhya Pradesh,Central,1168,3738.48,27,4,Complete,Medium,3918.83,30.1,4.82,3.1,Medium
P00696,Hydro,Tamil Nadu,South,173,684.26,98,1,Complete,High,842.54,110.0,23.13,12.0,High
P00697,Wind,Maharashtra,West,362,756.83,13,10,Partial,Medium,919.54,24.4,21.5,11.4,High
P00698,Solar,Gujarat,West,1480,4081.56,22,7,Partial,Low,4666.75,29.5,14.34,7.5,Medium
P00699,Hydro,Gujarat,West,492,2871.14,40,5,Partial,Low,3257.66,45.7,13.46,5.7,Medium
P00700,Wind,Andhra Pradesh,South,622,1468.38,17,1,Partial,Low,1617.95,22.0,10.19,5.0,Medium
P00701,Wind,Tamil Nadu,South,921,2590.01,35,3,Complete,Medium,2819.0,39.7,8.84,4.7,Medium
P00702,Wind,Haryana,North,144,359.94,28,7,Complete,High,413.32,38.8,14.83,10.8,High
P00703,Wind,Punjab,North,964,1674.67,17,1,Complete,Medium,1728.86,18.6,3.24,1.6,Low
P00704,Hydro,Karnataka,South,1517,6741.62,68,8,Complete,High,8452.76,77.3,25.38,9.3,High
P00705,Solar,Uttar Pradesh,North,513,1546.94,24,8,Partial,Medium,1895.83,35.9,22.55,11.9,High
P00706,Wind,Tamil Nadu,South,824,2117.16,16,1,Complete,Low,2190.06,18.0,3.44,2.0,Low
P00707,Transmission,Andhra Pradesh,South,1440,3321.96,45,7,Complete,Medium,3611.59,49.4,8.72,4.4,Medium
P00708,Hydro,Uttar Pradesh,North,1303,5231.5,56,7,Partial,Medium,6207.57,65.3,18.66,9.3,High
P00709,Solar,Gujarat,West,1257,1946.91,24,6,Partial,Medium,2321.92,34.0,19.26,10.0,High
P00710,Wind,Tamil Nadu,South,469,911.32,27,8,Complete,Low,980.76,30.8,7.62,3.8,Medium
P00711,Thermal,Maharashtra,West,2994,14630.57,47,4,Complete,High,16493.76,52.8,12.73,5.8,Medium
P00712,Transmission,Haryana,North,787,980.07,42,1,Complete,Low,996.51,44.0,1.68,2.0,Low
P00713,Hydro,Madhya Pradesh,Central,2793,16587.56,46,10,Partial,High,22647.96,65.7,36.54,19.7,High
P00714,Wind,Gujarat,West,858,1060.92,21,9,Partial,Low,1287.24,35.1,21.33,14.1,High
P00715,Wind,Gujarat,West,715,895.54,29,3,Complete,Low,934.36,30.5,4.33,1.5,Low
P00716,Thermal,Tamil Nadu,South,4044,21372.08,43,9,Complete,Low,24225.54,48.6,13.35,5.6,Medium
P00717,Transmission,Karnataka,South,2000,3698.89,15,8,Complete,Medium,4034.43,18.6,9.07,3.6,Medium
P00718,Solar,Uttar Pradesh,North,157,509.3,45,5,Partial,Low,566.52,50.0,11.24,5.0,Medium
P00719,Hydro,Haryana,North,280,1498.66,94,9,Pending,High,2217.99,123.4,48.0,29.4,High
P00720,Hydro,Rajasthan,North,3392,17588.09,65,9,Partial,Medium,20699.71,77.7,17.69,12.7,High
P00721,Thermal,Rajasthan,North,2450,10941.84,79,9,Complete,High,13408.53,89.4,22.54,10.4,High
P00722,Hydro,Punjab,North,403,3137.02,88,6,Pending,Medium,3798.47,97.5,21.09,9.5,High
P00723,Hydro,Rajasthan,North,1319,10424.38,82,3,Complete,Low,10449.38,83.6,0.24,1.6,Low
P00724,Hydro,Haryana,North,2278,11142.54,119,10,Complete,Low,12416.49,121.8,11.43,2.8,Medium
P00725,Solar,Uttar Pradesh,North,60,95.55,36,8,Complete,Medium,105.27,44.4,10.17,8.4,Medium
P00726,Transmission,Haryana,North,2495,4052.69,55,1,Partial,High,5177.1,66.2,27.74,11.2,High
P00727,Solar,Punjab,North,1129,3362.04,46,8,Pending,Medium,4494.74,68.8,33.69,22.8,High
P00728,Hydro,Uttar Pradesh,North,410,1681.26,53,4,Complete,High,1988.53,62.1,18.28,9.1,High
P00729,Transmission,Uttar Pradesh,North,2960,4060.82,20,8,Pending,Medium,5323.44,35.7,31.09,15.7,High
P00730,Transmission,Rajasthan,North,1879,2817.81,35,5,Complete,Low,2940.26,36.1,4.35,1.1,Low
P00731,Wind,Uttar Pradesh,North,782,1910.85,17,1,Partial,High,2451.18,29.5,28.28,12.5,High
P00732,Transmission,Haryana,North,1400,3338.93,31,5,Complete,Medium,3589.62,34.8,7.51,3.8,Medium
P00733,Solar,Tamil Nadu,South,582,1664.57,36,7,Complete,Medium,1761.01,38.7,5.79,2.7,Low
P00734,Thermal,Karnataka,South,1095,5952.9,68,8,Partial,Low,7207.2,81.3,21.07,13.3,High
P00735,Transmission,Rajasthan,North,2418,3889.18,55,10,Partial,Medium,5128.3,69.3,31.86,14.3,High
P00736,Transmission,Karnataka,South,2402,3390.71,27,9,Complete,Low,3523.01,33.1,3.9,6.1,Medium
P00737,Wind,Karnataka,South,442,579.36,29,3,Complete,Low,579.9,30.6,0.09,1.6,Low
P00738,Wind,Haryana,North,666,1414.28,26,3,Partial,Low,1618.18,33.1,14.42,7.1,Medium
P00739,Transmission,Rajasthan,North,1644,2548.54,12,3,Complete,Medium,2832.98,16.1,11.16,4.1,Medium
P00740,Hydro,Haryana,North,795,4930.0,55,9,Complete,High,6070.22,68.3,23.13,13.3,High
P00741,Transmission,Rajasthan,North,159,201.93,14,3,Partial,High,249.59,24.4,23.6,10.4,High
P00742,Transmission,Rajasthan,North,2825,4559.2,57,3,Partial,High,5685.45,70.7,24.7,13.7,High
P00743,Transmission,Haryana,North,1564,2728.55,48,7,Partial,Medium,3313.11,56.9,21.42,8.9,Medium
P00744,Thermal,Tamil Nadu,South,2410,9830.88,45,2,Complete,Medium,10415.71,48.7,5.95,3.7,Medium
P00745,Transmission,Madhya Pradesh,Central,634,658.22,30,10,Complete,Medium,746.28,35.2,13.38,5.2,Medium
P00746,Transmission,Madhya Pradesh,Central,2167,5413.92,54,1,Complete,Medium,5722.14,55.7,5.69,1.7,Low
P00747,Thermal,Andhra Pradesh,South,2843,16099.37,37,10,Complete,Medium,17740.38,45.3,10.19,8.3,Medium
P00748,Solar,Rajasthan,North,1287,3856.39,24,6,Complete,Medium,4255.54,26.9,10.35,2.9,Medium
P00749,Wind,Maharashtra,West,594,746.61,16,9,Partial,Medium,953.84,31.7,27.76,15.7,High
P00750,Hydro,Punjab,North,2733,11643.54,99,4,Complete,High,12610.29,107.5,8.3,8.5,Medium
P00751,Thermal,Maharashtra,West,3082,11183.41,50,2,Partial,Low,12625.46,59.1,12.89,9.1,High
P00752,Hydro,Gujarat,West,3343,13313.21,116,6,Pending,Low,16172.27,122.7,21.48,6.7,Medium
P00753,Transmission,Haryana,North,1021,1925.17,32,1,Complete,Low,1976.96,33.8,2.69,1.8,Low
P00754,Hydro,Uttar Pradesh,North,3513,17765.43,41,5,Complete,Low,18012.87,42.5,1.39,1.5,Low
P00755,Wind,Tamil Nadu,South,165,289.73,24,3,Complete,Low,291.43,24.4,0.59,0.4,Low
P00756,Hydro,Andhra Pradesh,South,360,2816.32,67,6,Partial,Medium,3250.31,75.2,15.41,8.2,Medium
P00757,Thermal,Punjab,North,4345,19218.56,85,6,Partial,High,22202.32,95.9,15.53,10.9,High
P00758,Hydro,Rajasthan,North,1668,10919.68,71,7,Partial,Medium,12457.59,77.3,14.08,6.3,Medium
P00759,Hydro,Uttar Pradesh,North,1339,5771.85,86,8,Partial,Medium,7442.08,98.0,28.94,12.0,High
P00760,Transmission,Haryana,North,2853,2934.5,29,5,Pending,Medium,3924.67,43.8,33.74,14.8,High
P00761,Thermal,Punjab,North,1642,6864.03,63,9,Complete,Low,7740.65,69.2,12.77,6.2,Medium
P00762,Transmission,Punjab,North,102,171.16,40,7,Partial,Medium,203.78,48.9,19.06,8.9,Medium
P00763,Transmission,Rajasthan,North,1744,2902.66,44,1,Complete,High,3451.85,51.2,18.92,7.2,Medium
P00764,Thermal,Gujarat,West,1106,6520.05,79,7,Partial,Medium,7453.87,86.9,14.32,7.9,Medium
P00765,Thermal,Tamil Nadu,South,1957,9641.9,94,8,Complete,Low,10062.62,99.4,4.36,5.4,Medium
P00766,Solar,Haryana,North,529,1432.4,24,3,Complete,High,1672.04,34.8,16.73,10.8,High
P00767,Wind,Madhya Pradesh,Central,703,1051.36,34,4,Partial,Low,1198.55,36.7,14.0,2.7,Medium
P00768,Solar,Gujarat,West,285,691.05,46,6,Partial,Low,801.25,53.0,15.95,7.0,Medium
P00769,Solar,Madhya Pradesh,Central,1353,4091.17,15,2,Partial,High,5009.64,24.9,22.45,9.9,High
P00770,Solar,Haryana,North,174,540.67,20,7,Complete,Medium,588.17,23.5,8.79,3.5,Medium
P00771,Transmission,Tamil Nadu,South,1612,3289.72,33,7,Complete,Low,3414.68,34.5,3.8,1.5,Low
P00772,Wind,Maharashtra,West,733,1787.65,32,1,Complete,Medium,1957.9,34.4,9.52,2.4,Low
P00773,Transmission,Karnataka,South,2768,6827.46,24,4,Pending,High,8975.13,44.7,31.46,20.7,High
P00774,Thermal,Haryana,North,3886,11554.7,68,6,Pending,Medium,14002.4,87.9,21.18,19.9,High
P00775,Hydro,Madhya Pradesh,Central,749,3267.73,86,7,Partial,Low,3837.7,91.2,17.44,5.2,Medium
P00776,Transmission,Madhya Pradesh,Central,1301,1850.37,37,6,Partial,Low,2097.84,44.0,13.37,7.0,Medium
P00777,Thermal,Andhra Pradesh,South,2356,7259.18,43,5,Pending,Low,8727.36,55.9,20.23,12.9,High
P00778,Thermal,Andhra Pradesh,South,4629,28747.23,83,7,Complete,High,33160.68,95.1,15.35,12.1,High
P00779,Hydro,Madhya Pradesh,Central,2034,14773.61,99,8,Complete,Low,15597.92,104.5,5.58,5.5,Medium
P00780,Hydro,Karnataka,South,1550,8657.92,99,8,Partial,Medium,10757.48,109.1,24.25,10.1,High
P00781,Transmission,Haryana,North,1072,2445.26,43,3,Partial,Medium,2927.89,50.9,19.74,7.9,Medium
P00782,Hydro,Madhya Pradesh,Central,1273,6226.22,105,3,Complete,Low,6335.47,106.9,1.75,1.9,Low
P00783,Transmission,Rajasthan,North,1449,1932.93,56,7,Partial,High,2386.5,70.3,23.47,14.3,High
P00784,Thermal,Gujarat,West,4848,21192.53,84,7,Pending,Medium,28521.63,101.1,34.58,17.1,High
P00785,Transmission,Madhya Pradesh,Central,529,742.1,57,1,Partial,Medium,922.68,64.0,24.33,7.0,Medium
P00786,Transmission,Punjab,North,1225,1980.3,42,9,Complete,High,2486.55,55.3,25.56,13.3,High
P00787,Transmission,Andhra Pradesh,South,658,1255.09,48,2,Pending,Medium,1761.09,66.1,40.32,18.1,High
P00788,Solar,Karnataka,South,1097,1715.46,28,5,Partial,Medium,1921.22,33.7,11.99,5.7,Medium
P00789,Wind,Rajasthan,North,83,168.25,35,3,Complete,Medium,185.53,39.3,10.27,4.3,Medium
P00790,Wind,Haryana,North,687,1079.17,35,4,Complete,Medium,1140.64,40.4,5.7,5.4,Medium
P00791,Hydro,Rajasthan,North,2648,10088.45,102,6,Partial,Medium,11430.73,110.3,13.31,8.3,Medium
P00792,Hydro,Maharashtra,West,2985,21589.82,79,10,Partial,Medium,28272.21,90.7,30.95,11.7,High
P00793,Hydro,Tamil Nadu,South,2303,9482.92,102,10,Partial,Low,10574.31,112.4,11.51,10.4,High
P00794,Thermal,Karnataka,South,658,2932.57,81,5,Complete,Medium,3063.2,84.2,4.45,3.2,Medium
P00795,Hydro,Andhra Pradesh,South,3383,16186.59,62,9,Complete,Low,17563.69,64.8,8.51,2.8,Low
P00796,Solar,Maharashtra,West,572,1506.15,16,10,Complete,Medium,1689.96,22.9,12.2,6.9,Medium
P00797,Solar,Tamil Nadu,South,1422,3593.05,21,9,Partial,Medium,4440.34,35.2,23.58,14.2,High
P00798,Solar,Karnataka,South,375,1163.56,23,4,Complete,Medium,1217.24,25.2,4.61,2.2,Low
P00799,Wind,Gujarat,West,445,1239.42,18,4,Complete,Medium,1354.91,20.0,9.32,2.0,Low
P00800,Solar,Punjab,North,588,1175.85,38,6,Complete,High,1434.21,48.7,21.97,10.7,High
P00801,Wind,Uttar Pradesh,North,256,627.77,27,1,Complete,Medium,678.59,31.4,8.1,4.4,Medium
P00802,Wind,Uttar Pradesh,North,671,1220.51,35,9,Complete,Medium,1389.24,41.2,13.82,6.2,Medium
P00803,Hydro,Andhra Pradesh,South,715,5278.2,36,10,Complete,Medium,6207.68,44.5,17.61,8.5,Medium
P00804,Transmission,Punjab,North,1659,2367.86,30,2,Partial,High,2901.0,45.2,22.52,15.2,High
P00805,Wind,Maharashtra,West,159,454.85,24,4,Complete,Low,477.28,25.4,4.93,1.4,Low
P00806,Wind,Madhya Pradesh,Central,568,1614.52,14,10,Complete,Low,1705.81,19.6,5.65,5.6,Medium
P00807,Solar,Uttar Pradesh,North,1161,2964.08,30,10,Complete,High,3249.25,35.8,9.62,5.8,Medium
P00808,Thermal,Haryana,North,809,4193.77,84,1,Complete,Medium,4389.89,87.8,4.68,3.8,Medium
P00809,Transmission,Madhya Pradesh,Central,2090,4021.45,43,1,Pending,Low,5073.75,51.0,26.17,8.0,High
P00810,Transmission,Gujarat,West,543,696.83,22,6,Complete,Low,722.11,22.5,3.63,0.5,Low
P00811,Wind,Madhya Pradesh,Central,431,886.41,26,9,Partial,Low,1064.88,34.1,20.13,8.1,Medium
P00812,Transmission,Andhra Pradesh,South,1532,3428.29,38,1,Pending,Low,4190.78,50.4,22.24,12.4,High
P00813,Solar,Haryana,North,79,264.77,15,5,Partial,Medium,327.67,23.1,23.76,8.1,Medium
P00814,Hydro,Rajasthan,North,2412,11742.03,82,3,Complete,Medium,12932.72,84.8,10.14,2.8,Medium
P00815,Thermal,Karnataka,South,3058,11266.45,82,5,Complete,High,12506.42,86.8,11.01,4.8,Medium
P00816,Transmission,Punjab,North,1886,3968.19,59,1,Complete,Medium,4161.98,61.7,4.88,2.7,Low
P00817,Hydro,Gujarat,West,1844,11283.18,110,4,Complete,Medium,12102.21,113.6,7.26,3.6,Medium
P00818,Hydro,Uttar Pradesh,North,3224,15529.58,112,2,Pending,High,20022.25,137.0,28.93,25.0,High
P00819,Solar,Haryana,North,353,948.27,30,4,Complete,Medium,1004.05,32.1,5.88,2.1,Low
P00820,Wind,Andhra Pradesh,South,893,2605.78,26,1,Pending,Medium,3524.21,37.7,35.25,11.7,High
P00821,Transmission,Andhra Pradesh,South,690,1558.05,42,5,Partial,Medium,1839.17,51.4,18.04,9.4,High
P00822,Wind,Rajasthan,North,733,1381.17,33,10,Partial,Medium,1674.94,45.2,21.27,12.2,High
P00823,Hydro,Uttar Pradesh,North,1191,5690.73,75,10,Complete,Low,6081.15,82.0,6.86,7.0,Medium
P00824,Transmission,Andhra Pradesh,South,2523,3232.03,23,9,Partial,Medium,3750.96,38.0,16.06,15.0,High
P00825,Transmission,Punjab,North,1880,4427.61,54,1,Pending,Medium,5945.17,67.8,34.27,13.8,High
P00826,Solar,Karnataka,South,948,2488.77,30,6,Complete,High,2989.22,37.3,20.11,7.3,Medium
P00827,Transmission,Madhya Pradesh,Central,557,723.19,14,6,Complete,Medium,763.79,16.9,5.61,2.9,Low
P00828,Thermal,Madhya Pradesh,Central,4345,13682.15,90,8,Partial,High,18232.27,110.9,33.26,20.9,High
P00829,Transmission,Madhya Pradesh,Central,1574,3503.55,32,9,Complete,Low,3789.2,33.8,8.15,1.8,Low
P00830,Hydro,Rajasthan,North,1951,9683.78,118,3,Partial,Medium,11433.04,124.5,18.06,6.5,Medium
P00831,Thermal,Gujarat,West,4178,18939.91,52,4,Complete,High,21222.66,58.6,12.05,6.6,Medium
P00832,Hydro,Rajasthan,North,1725,7545.07,70,3,Complete,High,8344.75,80.8,10.6,10.8,High
P00833,Hydro,Rajasthan,North,971,3916.82,42,5,Partial,Medium,4956.41,53.2,26.54,11.2,High
P00834,Wind,Uttar Pradesh,North,698,1651.33,19,10,Complete,Medium,1867.4,26.0,13.08,7.0,Medium
P00835,Wind,Karnataka,South,671,1001.97,35,8,Complete,Low,1088.28,38.6,8.61,3.6,Medium
P00836,Transmission,Uttar Pradesh,North,2422,4618.56,34,5,Partial,Medium,5568.82,42.9,20.57,8.9,Medium
P00837,Transmission,Haryana,North,431,654.16,15,2,Complete,Medium,688.97,19.5,5.32,4.5,Medium
P00838,Solar,Haryana,North,998,3343.83,20,7,Pending,High,4480.63,49.0,34.0,29.0,High
P00839,Hydro,Gujarat,West,2972,11668.18,54,7,Complete,Medium,12957.84,56.9,11.05,2.9,Medium
P00840,Thermal,Haryana,North,1325,5600.25,92,2,Partial,Low,5950.6,96.5,6.26,4.5,Medium
P00841,Transmission,Gujarat,West,1665,3443.29,12,9,Complete,Low,3820.55,16.9,10.96,4.9,Medium
P00842,Solar,Tamil Nadu,South,1275,2689.77,18,10,Partial,Low,2984.72,27.2,10.97,9.2,High
P00843,Thermal,Haryana,North,589,2331.05,71,10,Pending,Medium,3256.54,90.2,39.7,19.2,High
P00844,Thermal,Rajasthan,North,1016,6585.78,88,4,Complete,High,7796.9,100.2,18.39,12.2,High
P00845,Wind,Tamil Nadu,South,667,1653.12,23,1,Partial,Low,1794.45,30.4,8.55,7.4,Medium
P00846,Wind,Karnataka,South,701,1565.42,26,6,Pending,Medium,1964.35,39.7,25.48,13.7,High
P00847,Wind,Madhya Pradesh,Central,538,1269.01,16,8,Complete,Low,1415.45,20.3,11.54,4.3,Medium
P00848,Wind,Madhya Pradesh,Central,330,644.51,22,1,Partial,Medium,807.74,28.5,25.33,6.5,High
P00849,Thermal,Madhya Pradesh,Central,4658,21939.24,83,8,Partial,Medium,27460.28,93.3,25.17,10.3,High
P00850,Hydro,Karnataka,South,221,1676.67,102,10,Pending,Medium,2066.26,115.0,23.24,13.0,High
P00851,Thermal,Rajasthan,North,3311,8668.75,85,5,Complete,Medium,9455.82,88.4,9.08,3.4,Medium
P00852,Solar,Haryana,North,976,2071.73,44,1,Pending,High,2832.94,68.6,36.74,24.6,High
P00853,Solar,Punjab,North,1353,3819.08,31,8,Complete,Low,4149.68,36.2,8.66,5.2,Medium
P00854,Wind,Tamil Nadu,South,923,1383.73,31,10,Partial,High,1931.51,47.3,39.59,16.3,High
P00855,Wind,Madhya Pradesh,Central,366,639.3,29,10,Pending,High,885.77,56.0,38.55,27.0,High
P00856,Thermal,Madhya Pradesh,Central,4943,21035.6,52,3,Partial,Low,23272.18,55.8,10.63,3.8,Medium
P00857,Hydro,Rajasthan,North,141,764.98,105,1,Pending,High,987.36,120.9,29.07,15.9,High
P00858,Hydro,Maharashtra,West,1282,5878.44,116,3,Partial,Medium,7302.46,122.5,24.22,6.5,Medium
P00859,Transmission,Karnataka,South,1233,1714.26,37,8,Pending,Medium,2299.95,51.5,34.17,14.5,High
P00860,Hydro,Gujarat,West,3792,29125.37,61,3,Pending,Low,38227.83,68.9,31.25,7.9,High
P00861,Hydro,Andhra Pradesh,South,1986,13545.44,94,8,Complete,Low,15210.54,100.3,12.29,6.3,Medium
P00862,Transmission,Tamil Nadu,South,1275,1536.86,56,6,Partial,Medium,1780.66,62.4,15.86,6.4,Medium
P00863,Thermal,Tamil Nadu,South,3125,19060.72,90,3,Pending,Low,21541.25,103.0,13.01,13.0,High
P00864,Wind,Madhya Pradesh,Central,692,1153.31,13,10,Complete,Medium,1333.46,16.9,15.62,3.9,Medium
P00865,Solar,Punjab,North,1112,2026.99,20,4,Complete,Medium,2177.9,24.4,7.44,4.4,Medium
P00866,Wind,Punjab,North,958,1853.15,33,4,Complete,Low,1900.58,33.6,2.56,0.6,Low
P00867,Solar,Rajasthan,North,990,1555.78,34,9,Complete,Low,1606.6,40.0,3.27,6.0,Medium
P00868,Hydro,Gujarat,West,1988,12753.2,91,8,Partial,Low,14762.91,96.1,15.76,5.1,Medium
P00869,Thermal,Tamil Nadu,South,1425,8278.59,81,8,Complete,Medium,9218.05,90.4,11.35,9.4,High
P00870,Wind,Punjab,North,330,897.98,32,2,Complete,Medium,971.32,34.8,8.17,2.8,Low
P00871,Hydro,Rajasthan,North,2348,16834.18,87,7,Partial,Medium,20127.91,95.1,19.57,8.1,Medium
P00872,Solar,Gujarat,West,817,1454.13,20,6,Complete,High,1668.62,28.3,14.75,8.3,Medium
P00873,Wind,Maharashtra,West,88,190.91,28,7,Pending,Medium,219.44,40.3,14.94,12.3,High
P00874,Solar,Tamil Nadu,South,803,2631.66,32,4,Partial,Medium,3046.07,37.5,15.75,5.5,Medium
P00875,Transmission,Tamil Nadu,South,2731,5961.3,50,8,Complete,Medium,7246.21,59.5,21.55,9.5,High
P00876,Transmission,Karnataka,South,1975,3580.32,26,7,Complete,Low,3736.98,27.7,4.38,1.7,Low
P00877,Transmission,Gujarat,West,2380,4779.45,56,1,Complete,Medium,5115.05,61.1,7.02,5.1,Medium
P00878,Transmission,Maharashtra,West,864,1295.14,12,9,Complete,Medium,1494.55,16.6,15.4,4.6,Medium
P00879,Transmission,Haryana,North,995,2385.15,32,1,Pending,Medium,2939.61,51.7,23.25,19.7,High
P00880,Solar,Tamil Nadu,South,888,2245.72,12,6,Complete,High,2582.83,22.4,15.01,10.4,High
P00881,Hydro,Andhra Pradesh,South,950,7501.49,40,9,Pending,Medium,10110.49,60.1,34.78,20.1,High
